76,Erzya,mordovo erzya,erzya,,400000,54.1302,45.4394,2
77,Ho,ho,ho,,400000,21.637,86.4404,1
78,Judezmo (Israel),sefardí (Israel),judéo-espagnol (Israël),,400000,32.0872,34.7737,3
79,Lalo,lalo,lalo,,400000,25.383,99.9426,1
80,Limousin,lemosín,limousin,lemosin,400000,46.0579,1.8017,3
81,Logudorese,sardo logudorés,logoudorien,,400000,40.1116,9.1845,2
82,Mapuche (Chile),mapuche (Chile),mapuche  (Chile),,400000,-38.5653,-73.081,2
83,Central Náhuatl,nahua central,náhuatl central,,395581,19.191,-99.0236,1
84,Moselle Franconian,franconio del Mosela,francique mosellan,Lëtzebuergesch,390000,49.6071,6.1248,1
85,Bantawa,bantawa,bantawa,,371056,27.0994,87.0048,1
86,Santa,santa,dongxiang,,360000,35.5411,102.7935,1
87,Mingrelian,mingrelio,mingrélien,,350000,42.4599,41.7205,2
88,West Frisian,frisón occidental,frison occidental,,350000,53.1006,5.6579,1
89,Gurung,gurung,gurung,,338925,28.275,84.1782,2
90,Guajiro,guajiro,guajiro,,318500,11.8673,-71.9824,1
91,Karachay-Balkar,karachay-balkar,karatchaï-balkar,,302748,44.2137,42.8466,1
92,Adyge,adiga,adyguéen,,300000,44.9181,39.7485,1
93,Buryat (Trans-Baikal),buriato (transbaikálico),bouriate (Transbaïkalie),,300000,50.8336,109.5117,2
94,Kurru,yerukala,kurru,,300000,16.6151,81.6284,2
95,Kuvi,kuvi,kouvi,,300000,18.9478,83.5839,2
96,Limbu,limbu,limbu,,300000,27.096,87.7356,2
97,Moroccan Judeo-Arabic (Israel),judeo-árabe marroquí (Israel),judéo-arabe du Maroc (Israël),,300000,32.0476,34.7552,2
98,Plautdietsch,bajo alemán,plautdietsch,,300000,47.0738,35.5545,2
99,Pontic Greek,póntico,grec pontique,,300000,40.847,40.0149,2
100,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",quichua (sierra central),"quichua (Cotopaxi, Tungurahua et Chimborazo)",,300000,-1.8673,-78.9257,2
101,Waxiang,vasianhuá,waxiang,,300000,28.5652,110.3576,1
102,Oyrat,oirato,oïrat,,280000,46.195,88.7255,2
103,Garhwali,garhwali,garhwali,,279500,30.0976,79.1235,1
104,Bade,badé,bade,,250000,12.801,11.1181,1
105,Breton,bretón,breton,,250000,48.2246,-3.9331,3
106,Gascon,gascón,gascon,gascon,250000,43.1811,-0.1428,2
107,Phula (China),pula (China),phula (Chine),,250000,22.6001,104.0004,1
108,Sora,sora,sora,,250000,19.1244,83.2104,1
109,Konyak,coñac,konyak,,248000,26.9367,95.1745,1
110,Ao,ao,ao,,243000,26.4361,94.6472,1
111,Tuvan,tuva,touvain,,242754,51.7134,94.3945,1
112,Nafusi,jabal nafusah,nefousi,,240000,32.6393,13.4252,3
113,Suret,neo-arameo oriental,soureth,,240000,36.4477,43.2971,2
114,Malto,malto,malto,,224926,23.7853,85.4736,2
115,Khowar,jovaro,khowar,,222800,35.8667,71.7956,1
116,Maiya,khili,maiya,,220000,35.3151,72.908,1
117,Komi,komi,komi,,217316,62.3087,51.5917,2
118,Alpine Provençal,provenzal alpino,provençal alpin,provençau aupenc,200000,44.7467,6.6796,2
119,Gallo,gallo,gallo,galo,200000,47.931,-2.0544,3
120,Gera,gera,gera,,200000,10.5553,10.0579,1
121,Irula,irula,irula,,200000,11.4369,76.5032,1
122,Kharia,jariá,kharia,,200000,21.8003,85.4956,1
123,Khorasani Turk,turco jorasaní,turc du Khorassan,,200000,36.6596,57.854,1
124,Korku,koraku,korku,,200000,20.3034,80.2441,1
