1,1
2,2
3,3
4,4
5,5
6,5
7,6
8,6
9,6
10,6
11,6
12,7
13,7
14,8
15,9
16,10
17,11
18,12
19,9
20,9
21,13
22,13
23,13
24,13
25,13
26,13
27,13
28,13
29,7
30,14
31,15
32,15
33,15
34,15
35,15
36,16
37,17
38,18
39,5
40,5
41,13
42,19
43,20
44,11
45,21
46,22
47,7
48,7
49,11
50,7
51,23
52,9
53,9
54,9
55,3
56,24
57,24
58,24
59,5
60,5
61,11
62,25
63,6
64,26
65,26
66,26
67,7
68,7
69,27
70,7
71,18
72,28
73,27
74,7
75,29
76,29
77,17
78,17
79,22
80,2
81,28
82,27
83,1
84,30
85,31
86,31
87,31
88,16
89,22
90,27
91,2
92,27
93,32
94,26
95,18
96,11
97,7
98,22
99,29
100,29
101,7
102,26
103,7
104,7
105,24
106,24
107,9
108,9
109,27
110,33
111,27
112,22
113,22
114,22
115,7
116,7
117,7
118,17
119,7
120,21
121,15
122,22
123,9
124,17
125,20
126,34
127,17
128,25
129,25
130,34
131,11
132,29
133,35
134,36
135,37
136,18
137,38
138,28
139,39
140,39
141,28
142,7
143,7
144,7
145,7
146,30
147,26
148,7
149,17
150,9
151,17
152,18
153,24
154,18
155,26
156,26
157,22
158,27
159,27
160,18
161,26
162,17
163,7
164,38
165,18
166,18
167,7
168,18
169,9
170,9
171,9
172,18
173,33
174,27
175,7
176,40
177,40
178,26
179,9
180,26
181,7
182,17
183,7
184,24
185,9
186,9
187,9
188,9
189,9
190,10
191,27
192,32
193,18
194,18
195,7
196,17
197,17
198,7
199,28
200,28
201,2
202,29
203,23
204,18
205,41
206,41
207,42
208,22
209,29
210,43
211,14
212,14
213,13
214,13
215,13
216,13
217,13
218,13
219,30
220,30
221,7
222,11
223,2
224,7
225,12
226,12
227,12
228,44
229,18
230,7
231,9
232,7
233,26
234,26
235,31
236,31
237,31
238,26
239,2
240,7
241,45
242,40
243,34
244,44
245,22
246,7
247,15
248,15
249,6
250,6
251,6
252,29
253,29
254,18
255,18
256,22
257,7
258,22
259,12
260,12
261,43
262,31
263,37
264,37
265,5
266,5
267,6
268,7
269,34
270,5
271,46
272,47
273,29
274,7
275,48
276,13
277,29
278,7
279,30
280,18
281,40
282,14
283,6
284,2
285,22
286,13
287,41
288,7
289,14
290,29
291,17
292,9
293,18
294,9
295,25
296,25
297,25
298,25
299,15
300,7
301,49
302,31
303,8
304,11
305,46
306,50
307,14
308,2
309,12
310,12
311,12
312,2
313,24
314,9
315,9
316,35
317,7
318,7
319,7
320,9
321,9
322,9
323,9
324,9
325,26
326,26
327,26
328,26
329,26
330,2
331,37
332,7
333,22
334,11
335,27
336,27
337,7
338,7
339,50
340,11
341,18
342,10
343,24
344,11
345,26
346,40
347,18
348,18
349,9
350,9
351,9
352,11
353,44
354,26
355,26
356,45
357,18
358,33
359,31
360,2
361,30
362,25
363,25
364,32
365,30
366,26
367,26
368,9
369,11
370,15
371,26
372,26
373,26
374,26
375,26
376,26
377,26
378,22
379,29
380,44
381,7
382,29
383,39
384,25
385,25
386,6
387,9
388,34
389,26
390,11
391,31
392,48
393,11
394,6
395,6
396,22
397,47
398,17
399,22
400,18
401,31
402,11
403,25
404,30
405,51
406,31
407,17
408,9
409,9
410,18
411,7
412,7
413,7
414,26
415,9
416,17
417,7
418,7
419,49
420,49
421,26
422,10
423,9
424,7
425,7
426,7
427,11
428,44
429,14
430,32
431,29
432,14
433,52
434,17
435,31
436,53
437,29
438,2
439,31
440,13
441,18
442,12
443,12
444,12
445,24
446,26
447,17
448,28
449,11
450,28
451,26
452,54
453,29
454,26
455,29
456,29
457,31
458,11
459,11
460,31
461,19
462,19
463,11
464,10
465,5
466,6
467,6
468,6
469,6
470,30
471,7
472,54
473,23
474,14
475,26
476,27
477,29
478,31
479,24
480,55
481,31
482,7
483,11
484,2
485,30
486,22
487,13
488,11
489,14
490,37
491,37
492,37
493,53
494,44
495,53
496,26
497,56
498,22
499,29
500,14
501,7
502,7
503,11
504,6
505,49
506,53
507,53
508,13
509,32
510,32
511,32
512,2
513,2
514,6
515,51
516,31
517,31
518,7
519,6
520,26
521,26
522,26
523,26
524,26
525,22
526,17
527,31
528,24
529,24
530,13
531,13
532,14
533,24
534,9
535,9
536,11
537,26
538,26
539,26
540,26
541,9
542,51
543,51
544,51
545,51
546,51
547,29
548,29
549,29
550,57
551,31
552,6
553,27
554,11
555,7
556,9
557,26
558,12
559,6
560,29
561,29
562,29
563,29
564,26
565,26
566,5
